ID,dep,life,years_waiting,obesity,alco,work_hours,crim,reject_chance,tid
0-10062423-138051,1,0,3,0,-1,1,2,-1,10062423
0-3374235-138051,3,3,1,0,0,0,-1,-2,3374235
0-1202518-138051,3,3,1,0,0,0,-3,-3,1202518
0-9866441-138051,1,3,1,-2,-1,1,-1,-2,9866441
0-2476915-138051,-1,3,-1,0,0,3,0,1,2476915
0-9982137-138051,0,0,0,0,0,0,-3,1,9982137
0-1187370-138051,1,3,2,0,-1,1,-1,-3,1187370
0-6755186-138051,2,3,0,0,-1,1,-3,-1,6755186
0-9193144-138051,3,3,0,-1,-2,2,-1,-2,9193144
0-10874615-138051,2,3,1,-2,-1,2,-2,-3,10874615
0-3744047-138051,1,2,2,0,0,0,-3,-2,3744047
0-8927100-138051,3,2,1,-1,-2,0,0,-2,8927100
0-2134446-138051,0,3,2,0,0,0,0,-3,2134446
0-9970784-138051,1,0,3,0,-1,1,-2,-2,9970784
0-10889686-138051,3,3,2,0,-1,0,3,-3,10889686
0-7569287-138051,1,3,-1,-3,-3,1,-3,3,7569287
0-10875690-138051,2,3,1,0,-1,1,-1,-3,10875690
0-6532145-138051,1,3,2,0,0,1,0,-2,6532145
0-3517997-138051,3,2,1,-1,-2,1,-1,-1,3517997
0-10917629-138051,1,1,1,0,-1,1,-2,-2,10917629
0-10954028-138051,3,3,2,2,0,2,1,3,10954028
0-9871233-138051,0,2,2,-1,-1,0,-1,-2,9871233
0-10940599-138051,2,3,1,-1,-2,1,-2,-1,10940599
0-9203192-138051,2,1,1,2,1,2,2,2,9203192
0-6295129-138051,3,2,2,0,0,-2,-3,1,6295129
0-9136442-138051,0,3,2,1,1,2,0,-2,9136442
0-9355506-138051,0,3,3,0,0,0,0,-3,9355506
0-5731984-138051,-2,3,1,1,0,0,1,0,5731984
0-9752535-138051,0,2,3,0,-1,0,0,-1,9752535
0-5802021-138051,3,3,-2,-1,-2,2,-2,-3,5802021
0-2180819-138051,0,3,3,-1,-1,1,-1,-3,2180819
0-6772642-138051,2,2,1,0,0,0,-1,-1,6772642
0-6685738-138051,0,3,1,-1,-1,0,-1,-2,6685738
0-6543678-138051,1,3,1,1,1,2,0,-1,6543678
0-4050566-138051,-3,3,3,2,-1,1,-1,3,4050566
0-4796785-138051,0,2,2,0,-1,0,-2,-2,4796785
0-3566798-138051,2,3,1,-1,-1,1,-2,-3,3566798
0-10633152-138051,3,2,0,0,-2,0,0,-2,10633152
0-2362396-138051,1,3,-2,-3,-3,-3,-1,3,2362396
0-5114880-138051,1,3,1,0,-2,0,-1,1,5114880
0-11020434-138051,1,2,3,0,-1,0,-1,-1,11020434
0-3516652-138051,3,1,0,0,0,0,0,-2,3516652
0-11034831-138051,0,2,1,0,0,0,0,-3,11034831
0-11052140-138051,-2,3,1,1,-2,-3,2,-2,11052140
0-4035470-138051,2,3,1,0,-1,0,-1,-2,4035470
0-4254843-138051,0,3,1,0,-1,0,-1,3,4254843
0-5017701-138051,2,3,1,0,0,0,0,-1,5017701
0-4221331-138051,-3,3,3,-1,-1,1,-1,-3,4221331
